feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
BTNL3	-0.578	-0.051	0.051	1.778	1.086	0.107	1.335	2.232	-0.372	1.703	-0.102	-0.514	-0.652	3.427	2.251	-0.591	0.008	0.354	1.589	-0.162	0.274	2.958	1.911
CSPG5	-0.699	-0.997	-1.205	-0.783	-0.640	-0.516	-1.086	-0.995	-0.780	-1.145	-1.085	-0.562	-1.265	-0.694	-1.265	-0.633	-0.473	-0.585	-1.115	-1.174	-0.951	-0.855	0.027
EIF5A	-0.244	-0.131	-0.548	-0.517	-1.878	-1.341	-0.795	-1.415	-2.156	-0.739	-0.578	-0.274	-0.631	-0.689	-2.622	-0.389	-1.344	-1.059	-1.801	-1.518	-0.902	-1.929	-2.455
C10orf88	0.343	0.984	0.241	0.322	0.893	0.359	1.098	0.052	-0.135	0.125	0.513	0.460	-0.059	-0.182	0.590	-0.399	0.351	-0.977	0.322	0.217	-0.050	0.551	0.095
POLR1C	-0.447	-0.205	-0.807	-0.917	-0.735	-0.626	-0.627	-0.986	-0.715	-1.253	-1.258	-0.914	-1.100	-2.137	-0.368	-0.717	-0.690	-1.125	-0.241	-0.474	-0.593	-0.235	-0.428
GRIK4	2.034	0.691	-0.085	2.572	0.060	0.429	0.474	0.397	3.938	0.193	-0.236	0.357	0.460	4.564	1.267	0.328	2.284	1.791	0.158	-0.021	1.071	0.257	-0.298
ACTL8	-2.820	-3.086	-3.375	-2.915	-3.869	-3.210	-3.500	-4.206	-3.382	-2.810	-2.663	-2.264	-3.493	-2.497	-3.813	-0.910	-4.078	1.496	-3.026	-2.855	-3.752	-3.594	-4.157
SPN	-0.232	-0.307	0.065	-0.182	-1.130	-0.527	-0.049	0.929	-0.714	0.519	0.875	-0.202	-0.200	1.076	-0.801	0.311	0.954	0.503	0.260	0.395	0.907	-0.077	-0.452
RABGAP1	-0.041	0.506	0.408	0.657	0.465	0.452	0.612	0.593	-0.037	0.244	0.432	-0.035	0.433	0.372	0.697	0.775	0.598	0.030	0.894	0.509	0.074	0.462	0.274
FBXO27	1.675	0.139	0.586	-0.017	1.384	-0.215	0.582	0.443	0.836	0.960	1.151	-0.298	1.763	1.287	0.716	0.674	-0.286	0.348	0.348	-0.015	0.734	0.566	1.777
NT5M	0.398	-0.561	-0.904	-0.906	0.797	-1.406	-1.355	-1.631	-0.202	-0.539	-0.509	-0.744	-0.445	-0.543	-1.566	-0.676	-1.272	1.302	-0.817	0.140	-1.053	-1.079	-0.049
CFHR5	0.281	0.253	-0.172	-0.106	0.371	0.501	0.923	0.756	0.920	1.006	1.149	0.735	0.842	0.093	0.765	-0.066	0.183	-0.102	1.043	-0.638	0.200	0.624	0.898
OR4B1	0.371	0.121	0.470	0.102	0.331	0.377	-0.120	0.610	0.341	0.389	0.079	0.467	0.441	0.051	0.433	0.293	0.287	0.051	-0.238	0.205	0.165	0.482	0.619
EIF1B	0.894	0.201	-0.176	-0.035	0.948	0.072	-0.001	0.086	-0.495	-0.289	-0.070	-0.240	-0.243	-0.961	0.089	-0.962	-1.138	-2.532	-0.406	-0.732	-0.957	-0.401	-0.693
EWSR1	-1.555	-1.303	-1.480	-1.005	-0.716	-1.686	-1.572	-1.032	-1.159	-1.312	-1.155	-1.224	-1.195	-1.288	-1.434	-0.802	-0.090	-0.759	-0.940	-1.027	-0.888	-0.926	-0.699
GCNT3	4.716	2.238	1.138	1.584	2.348	2.445	3.436	2.970	2.221	2.878	2.305	2.947	2.999	2.148	2.600	1.591	0.571	3.867	3.048	2.050	4.018	3.393	4.121
LOC644186	5.819	1.286	4.729	1.652	0.610	0.068	2.868	0.155	1.500	1.401	1.360	4.324	2.264	1.049	0.503	0.681	0.257	1.993	1.500	1.814	1.203	0.538	1.056
SETD4	0.091	-0.045	-0.220	0.236	-0.162	-0.869	-0.923	-0.414	-0.866	-0.282	-1.175	-0.888	-0.294	-0.367	-0.508	-0.244	0.018	1.076	-1.247	0.089	-0.092	-1.202	-0.579
PRPS1L1	-1.323	-0.942	-1.492	-1.699	-2.329	-1.101	-1.000	-1.804	-1.925	-1.348	-0.965	-1.080	-1.034	-0.781	-1.746	-2.126	-1.911	-2.095	-1.607	-1.964	-1.925	-1.720	-1.508
NDUFS3	0.589	0.250	0.008	-0.154	0.882	0.163	0.142	-0.232	0.206	-0.279	0.021	-0.029	0.100	-0.267	-0.017	-0.125	-0.551	0.241	0.133	-0.020	-0.101	0.074	0.305
RYR1	0.111	0.035	0.945	0.320	-0.628	-0.229	-0.276	0.640	0.285	0.885	0.589	0.151	0.353	0.774	0.137	0.460	0.959	0.007	0.363	0.802	0.534	0.113	0.442
HSD17B6	-2.768	-2.778	-2.162	-2.463	-1.740	-2.540	-2.005	-3.381	-2.910	-2.835	-2.067	-0.894	-3.357	0.545	-1.132	0.302	-1.600	-2.210	-2.540	-1.500	-1.728	-1.454	-2.591
KIAA1843	0.694	0.248	1.153	-0.716	0.860	0.838	0.042	1.052	1.321	2.515	0.559	0.062	0.061	NA	0.785	-1.361	1.119	0.474	-0.089	0.663	0.112	3.587	0.769
KRT77	0.901	0.876	0.147	0.223	0.505	0.288	0.827	-0.083	-0.071	-0.387	-0.204	0.147	-0.367	-0.208	-0.318	0.370	-0.208	-0.243	0.620	0.042	0.079	0.022	-0.386
NDE1	-1.254	-0.966	-0.903	-0.961	-1.633	-1.703	-1.697	-0.660	-0.935	-0.950	-1.210	-1.604	-0.956	-0.966	-1.437	-0.493	0.080	-0.082	-1.214	-0.452	-0.713	-0.849	-0.742
NUMB	0.163	1.030	0.641	0.373	-0.096	1.465	1.016	1.710	0.213	0.708	0.956	0.070	0.927	0.433	1.367	0.193	0.408	-0.009	0.823	0.354	-0.005	1.020	0.989
MAZ	-0.038	0.194	-0.117	0.502	-1.857	0.249	0.367	0.177	-0.473	0.517	0.415	0.579	0.370	1.024	-0.669	0.312	0.141	1.009	-0.346	-0.236	0.007	-0.237	0.117
SLC12A6	1.239	0.436	1.472	0.158	0.609	1.605	1.508	-0.428	-0.302	0.696	1.090	1.062	1.266	0.039	0.686	0.856	-0.103	0.764	1.537	1.413	1.537	1.124	0.803
GINS2	-2.971	-2.134	-2.455	-1.804	-3.699	-3.451	-2.313	-2.854	-2.602	-2.830	-2.246	-1.880	-2.515	-1.667	-3.435	-1.833	-2.369	-2.359	-2.407	-2.818	-2.814	-3.498	-1.663
YWHAZ	0.263	-0.028	-0.191	0.062	-0.398	-0.038	-0.125	-0.095	-0.453	-0.134	-0.077	0.024	0.015	-0.324	-0.226	-0.184	0.046	-0.646	-0.407	-0.875	0.133	-0.352	-0.575
KRT24	0.922	0.057	0.083	-0.544	0.211	-0.341	-0.645	0.331	0.416	0.109	0.453	-0.251	-0.336	0.258	0.203	0.329	0.336	0.088	-0.903	-0.862	0.144	-0.436	0.467
ADAMTS9	1.993	1.731	1.513	2.383	0.234	1.165	1.619	1.688	3.375	1.541	1.684	1.260	1.080	0.697	2.229	1.839	1.207	2.876	1.572	2.193	1.708	1.951	1.875
SLC7A14	-1.441	-1.935	-1.448	-1.209	-1.357	-1.241	-1.632	-1.351	-1.280	-1.857	-1.626	-1.507	-1.420	-0.948	-1.738	-1.836	-2.167	-1.405	-1.832	-2.126	-2.106	-1.824	-1.663
DLG3	-0.183	0.124	-0.245	-0.514	0.279	0.131	0.429	-0.023	0.514	-0.046	-0.019	-0.165	0.418	-0.406	0.203	-0.408	0.120	-0.142	0.175	-0.290	-0.459	0.208	0.034
TBC1D19	0.928	1.119	0.624	-0.380	0.558	1.189	0.188	0.548	-0.369	0.037	0.631	1.031	0.264	-0.611	0.695	-0.227	-0.328	-0.469	0.686	0.176	0.168	0.460	-0.123
ZFP3	0.250	0.969	0.029	-0.500	1.089	0.747	0.919	0.445	0.458	-0.007	0.595	0.064	1.022	-0.113	0.453	0.432	0.390	0.416	1.295	0.339	-0.017	0.910	0.922
INPP1	0.571	1.359	1.279	0.538	1.913	1.268	0.782	1.755	1.117	0.984	1.593	-0.033	0.849	1.045	1.130	1.366	1.816	0.834	1.517	1.475	1.252	1.071	1.955
CEP63	-1.145	-0.755	-0.522	0.186	0.141	-0.234	-0.653	-0.181	-0.299	-0.267	-0.843	-0.400	-0.028	-0.155	-0.163	-0.406	-0.150	-0.009	0.114	0.323	0.051	0.023	-0.122
HACE1	-0.627	-0.240	0.004	-0.406	0.119	0.224	0.498	-0.742	-0.009	-0.519	-0.585	-0.748	-0.170	-1.384	-0.227	-0.630	-0.332	-1.361	-0.130	-1.011	-0.530	0.040	-0.150
RAP2B	-0.074	-0.840	-0.350	0.227	-0.691	-0.366	-0.342	-0.060	0.138	0.404	0.393	0.380	-0.564	0.676	0.532	0.505	0.010	-1.257	-0.124	0.049	0.405	0.376	-0.327
SFPQ	-1.315	-0.578	-0.579	-0.215	-0.740	0.037	-0.418	-0.073	-0.490	-0.330	-0.759	-1.063	0.132	-0.645	-0.039	-0.364	-0.081	-0.140	-0.524	-0.784	0.026	-0.217	-0.410
TAGAP	3.224	3.138	3.452	2.542	0.245	0.769	2.048	2.976	1.968	3.376	3.566	2.920	1.716	3.350	2.299	2.732	3.856	1.206	2.388	3.617	3.361	2.736	2.419
MYOHD1	-2.202	-2.297	-2.352	-1.305	-1.534	-1.650	-2.142	-1.424	-2.123	-1.948	-2.691	-2.413	-2.258	-2.039	-1.937	-1.668	-1.787	-1.167	-2.678	-1.881	-1.459	-1.881	-1.817
USP39	-0.790	-0.904	-0.960	-1.108	-0.201	-1.116	-1.262	-1.006	-1.303	-1.032	-0.940	-1.005	-1.237	-1.105	-1.068	-0.863	-0.581	-0.985	-1.080	-0.558	-0.914	-0.969	-0.922
ZNF415	1.582	1.677	0.954	0.743	1.471	-1.228	2.088	0.445	-1.831	0.661	0.359	1.248	-1.242	-0.318	0.166	-1.447	0.227	-0.873	0.706	-1.122	0.106	0.634	0.540
CACNA1S	-0.370	-0.536	-0.399	-0.033	-0.672	0.253	0.276	-0.688	0.121	-0.445	-0.050	0.205	0.122	-0.085	-0.177	-0.400	-0.741	-0.458	0.275	0.130	-0.668	-0.243	-0.691
CHKA	-1.477	-1.703	-2.428	-1.395	-1.080	-1.860	-2.663	-0.803	-2.276	-1.862	-2.162	-2.722	-1.841	-1.995	-1.724	-1.796	-1.895	-1.581	-2.204	-1.696	-2.708	-2.533	-1.247
CCDC117	-0.095	0.344	0.118	-0.548	-0.112	0.592	0.065	-0.332	-0.358	-0.157	0.169	0.117	-0.126	-0.035	-0.361	-0.745	-0.433	-0.624	0.113	-0.046	-0.490	-0.057	-0.078
POLR2E	-0.183	0.311	0.192	-0.651	-0.376	-0.398	-0.433	-0.850	-0.693	-0.182	-0.127	-0.459	-0.253	-0.556	-0.598	0.023	-0.378	0.151	0.132	-0.350	-0.094	-0.070	0.415
PIGZ	-1.507	-3.450	-2.015	-1.500	-2.708	-2.282	-3.271	-2.884	-2.232	-2.171	-3.162	-2.148	-3.342	-1.678	-2.103	-2.037	-2.546	-0.990	-2.196	-2.503	-1.769	-2.417	-1.049
HIST1H2BD	-1.854	0.288	-0.090	0.143	-2.490	1.399	0.144	0.668	0.327	1.098	-0.236	1.153	-0.122	0.543	0.890	0.259	-0.021	0.362	0.370	1.646	-0.315	0.254	-0.201
RNF150	-1.320	-2.066	-0.410	-2.019	1.620	-0.639	-1.479	-0.728	1.648	-1.516	-2.240	-0.734	-1.178	-1.729	-0.795	-0.963	0.516	-1.042	-0.238	-1.206	-0.927	-0.311	-1.446
MSH4	0.571	0.760	0.410	1.815	-0.786	0.580	0.872	0.938	0.011	0.191	-0.003	1.165	0.143	0.751	0.576	0.991	1.712	0.393	0.087	-0.004	-0.478	0.551	-0.143
PPP2R5A	1.556	1.113	0.506	0.300	1.799	0.689	1.256	0.798	0.603	0.602	0.718	0.753	0.727	0.594	0.481	0.302	0.760	-0.172	0.447	0.674	0.300	0.537	0.347
HPS4	-1.142	-0.766	-0.482	0.456	-0.140	-0.373	-0.483	-0.277	0.144	-0.120	-0.552	-0.905	-0.258	-0.213	-0.396	-0.010	0.011	0.438	0.034	-0.169	-0.287	-0.300	0.245
FGD2	1.533	2.668	2.386	2.697	0.757	1.839	1.635	2.587	1.647	2.194	2.144	1.944	1.238	2.381	1.446	2.268	2.654	1.849	1.393	2.195	2.520	2.065	1.688
BCAT1	-2.548	-2.634	-3.203	-2.264	-3.622	-3.267	-3.202	-3.466	-2.806	-2.377	-2.432	-2.603	-3.243	-2.100	-2.069	-2.139	-2.819	-4.133	-3.093	-2.850	-3.504	-3.095	-3.089
DBH	-0.675	-0.858	-0.495	-0.176	-0.558	-1.122	-0.359	-0.533	-0.138	-0.343	-0.048	-0.579	-0.761	-0.137	-1.043	-0.605	-0.343	-0.665	-0.815	-0.521	-0.595	-0.489	-0.276
ABCC6	0.953	1.860	2.687	0.101	-0.621	1.763	1.761	1.081	-1.103	1.556	1.252	0.759	1.033	2.118	0.684	1.493	0.306	2.354	1.956	2.139	2.409	1.744	1.293
INDOL1	-0.468	0.738	0.621	2.153	-0.825	0.535	0.192	2.589	-0.117	0.955	0.442	-1.911	0.230	0.746	-0.355	0.448	1.397	-0.664	0.820	1.693	1.266	-0.039	-0.737
NLRX1	0.296	0.449	0.699	0.306	0.498	-0.044	-0.487	0.411	0.423	0.315	0.182	0.126	0.253	0.988	0.410	0.698	0.527	1.245	0.205	0.894	0.330	0.452	0.618
MOSPD1	0.596	-0.431	-0.748	-0.475	0.297	-0.053	0.265	-0.912	-0.526	-0.986	-0.571	-0.102	-0.713	-0.659	-0.562	-1.089	-0.846	-1.780	-0.447	-0.855	-0.724	-0.577	-1.165
MARCH11	-1.566	-2.066	-2.234	-1.914	-1.733	-1.748	-1.477	-1.847	-1.674	-2.656	-1.723	-1.503	-1.181	-2.036	-2.502	-1.873	-1.808	-1.689	-1.314	-1.720	-1.664	-1.768	-2.071
DDO	3.186	3.379	2.957	1.082	-0.748	2.953	2.983	0.938	1.640	1.572	3.344	1.372	2.828	0.906	1.383	1.570	1.725	1.956	3.491	1.959	1.518	1.519	3.051
HM13	-0.169	-0.480	-0.530	-0.384	-0.582	-0.749	-0.933	-1.023	0.281	-0.329	-0.844	-0.196	-0.443	0.032	-0.540	0.366	0.306	0.302	-0.471	-0.219	0.153	-0.410	0.126
SLC6A5	-0.205	0.170	0.170	-0.085	0.034	0.003	0.117	-0.465	-0.175	0.152	0.336	-0.007	-0.286	-0.154	-0.008	0.020	-0.062	-0.290	-0.233	0.020	-0.024	-0.375	0.154
OAF	1.075	0.887	0.431	-0.514	0.628	0.304	1.106	-0.281	0.257	0.451	0.396	0.417	0.049	0.266	-0.222	0.050	0.218	1.504	0.152	0.621	0.803	0.222	0.818
CHRNA5	-2.962	-2.623	-3.269	-2.430	-3.497	-3.564	-4.718	-5.263	-3.342	-3.721	-3.554	-3.106	-5.253	-5.213	-3.875	-2.926	-2.672	-3.269	-3.560	-3.515	-3.478	-4.918	-2.450
IRAK4	1.599	1.069	0.945	0.812	1.033	0.265	0.843	0.126	-0.281	0.162	0.894	0.362	0.845	-0.173	-0.049	0.661	0.478	-0.821	0.069	0.496	0.429	0.061	-0.416
FBXO8	1.681	1.665	1.290	0.950	1.914	1.464	2.056	1.118	0.651	0.758	1.649	2.018	1.038	0.916	1.783	0.584	1.177	0.010	1.522	1.208	1.129	1.048	0.750
TXNDC11	0.935	1.413	0.783	0.285	0.182	1.159	0.897	0.346	0.531	0.906	1.177	0.820	1.240	0.390	0.169	1.061	1.461	0.925	0.266	0.633	0.739	0.627	1.472
SLC10A1	1.066	0.124	-0.342	-0.194	-0.021	0.551	-0.145	0.024	1.131	0.435	0.384	0.058	0.432	0.241	-0.058	-0.126	-0.352	1.044	0.844	-0.479	-0.372	0.032	0.002
VCAM1	4.944	5.499	5.695	4.022	1.327	5.796	6.150	6.226	4.350	5.727	5.812	6.116	5.327	6.132	5.189	4.945	4.958	5.818	4.778	5.911	5.713	5.498	5.802
GOLIM4	-0.291	0.783	0.750	0.903	1.507	2.224	1.358	2.350	2.435	1.739	1.513	0.661	1.899	2.207	1.595	1.801	1.096	2.405	1.262	1.323	1.295	1.832	1.855
INSL6	0.349	-0.342	-0.821	0.347	0.510	0.839	-0.574	-0.195	0.150	0.423	0.775	0.330	0.208	0.108	0.078	0.116	-0.475	0.113	-0.358	-0.110	0.757	0.661	-0.011
VSNL1	-4.955	-5.776	-5.870	-5.824	-5.439	-6.516	-5.726	-7.727	-5.304	-6.153	-5.997	-5.148	-6.499	-3.787	-4.866	-5.795	-6.512	-6.439	-6.148	-6.409	-5.650	-6.852	-6.773
EXTL3	-0.676	-0.284	0.239	-0.575	0.140	-0.982	-0.848	-0.775	-0.346	-0.196	-0.188	-0.658	-0.308	0.224	-0.472	-0.153	-0.837	-0.043	-0.101	-0.203	-0.652	-0.247	0.494
ZNF228	-0.443	0.170	0.411	0.240	1.270	1.456	0.868	1.379	0.387	0.414	-0.066	0.231	-0.382	-0.091	1.474	-0.455	-0.009	-0.900	0.750	0.389	0.303	1.316	0.871
CPEB2	1.558	1.899	1.159	0.933	0.695	2.263	1.630	2.025	0.765	1.773	1.802	1.477	1.935	0.893	2.657	1.933	2.258	1.508	1.722	2.217	1.724	2.177	1.610
LHPP	1.347	-0.061	0.260	-0.081	0.657	-0.074	0.480	0.009	-0.405	0.387	-0.035	0.703	-0.791	0.525	-0.431	-0.095	-0.355	0.806	-0.607	0.328	0.563	0.009	0.064
MPZ	-0.398	-0.074	-0.406	0.478	0.157	0.287	0.037	0.060	0.140	0.375	0.493	0.384	0.503	-0.633	-0.585	-0.892	-0.173	-0.900	0.059	0.084	-0.782	-0.234	-0.053
CACNA2D1	0.469	0.924	0.836	2.283	-0.555	1.054	-0.872	-0.958	0.615	0.928	0.233	1.400	2.557	-0.343	1.808	2.455	1.139	0.558	0.586	-0.041	0.615	0.299	1.975
ILVBL	-0.099	-0.001	0.011	-0.031	-0.215	-0.337	-0.629	-0.590	0.012	-0.211	-0.369	-0.592	-0.521	0.461	0.248	0.258	-0.064	1.092	0.804	0.508	-0.352	0.316	0.053
LOC399900	-1.680	-1.257	-1.788	-0.460	-0.796	-0.927	-1.706	-2.490	0.185	-1.581	-1.338	-1.651	-0.765	-0.981	-0.815	-0.482	-0.389	-0.208	-0.886	-0.374	-1.722	-1.143	-0.515
MBP	0.313	0.159	0.575	-0.486	1.285	0.062	0.246	0.112	-0.531	0.129	0.432	0.382	0.052	0.243	0.278	0.376	-0.096	0.106	0.486	0.188	0.390	0.393	1.164
HIST1H4H	-0.354	0.300	-0.648	-0.142	-1.478	1.083	0.510	0.247	0.505	-0.011	-0.338	0.684	-0.166	-0.407	0.628	-1.552	-1.308	-1.288	-0.647	1.228	-0.979	-0.620	-0.673
RPS9	1.072	0.874	0.451	1.717	0.397	1.483	1.462	0.484	0.580	1.140	0.787	1.982	1.363	0.749	-0.017	-0.119	-0.399	0.302	1.183	0.298	0.369	0.754	-0.198
HDAC3	-0.317	0.451	0.292	-0.581	-0.273	-0.328	-0.406	-0.577	-0.127	-0.185	0.269	-0.262	-0.177	0.110	0.009	-0.086	0.261	0.245	0.086	-0.456	-0.070	-0.179	0.061
PPP4C	0.352	0.932	-0.159	-0.377	-1.056	-1.146	-0.419	-1.100	-1.482	-0.794	-0.183	-0.425	-0.781	-0.844	-0.371	0.124	0.607	0.245	-0.728	-0.696	-0.265	-1.150	0.216
GRIA1	0.056	-0.178	-0.133	-0.385	0.157	0.363	-0.257	-0.504	0.772	-0.837	-0.064	0.186	0.065	-0.348	-0.333	0.090	-0.098	0.303	0.021	-0.143	0.002	0.021	0.316
RAB25	1.137	-2.977	-0.191	-2.424	-1.107	-3.280	-3.045	-4.055	-3.292	-2.633	-2.497	-2.057	-3.158	-2.312	-3.655	-2.799	-3.649	-2.716	-2.850	-2.728	-3.404	-3.281	-3.731
C19orf22	-0.787	-0.492	-0.861	-0.688	-0.516	-0.680	-0.359	-0.581	-0.993	-0.549	-0.383	-0.590	-0.367	-0.108	-1.353	-0.731	0.352	0.143	-1.413	-0.653	-0.582	-0.547	0.117
PIGU	-0.534	-0.689	-0.561	-0.708	-0.497	-0.714	-0.700	-1.346	-0.577	-1.098	-0.615	-0.741	-0.170	-1.345	-0.913	-0.967	-1.017	-1.431	-0.316	-0.731	-1.012	-0.606	-0.152
TOM1L2	0.092	0.176	0.928	-0.007	0.718	0.034	-0.326	0.697	0.204	0.230	0.522	-0.085	0.585	0.202	0.479	0.295	0.098	0.701	0.249	0.823	0.302	0.263	0.472
C12orf36	0.793	0.208	2.575	1.611	0.550	1.155	0.592	0.799	0.450	3.071	0.869	1.676	0.708	1.358	0.207	3.985	1.341	4.357	-0.197	1.093	3.447	1.389	1.216
KLF6	1.378	2.225	2.041	2.889	2.029	2.617	2.073	2.415	2.397	1.284	2.749	0.569	2.747	1.724	1.997	1.287	2.396	2.684	1.785	1.119	1.685	3.065	1.699
REEP6	-0.617	-2.191	-2.067	-1.581	-1.303	-2.571	-2.863	-2.699	-2.278	-1.764	-1.985	-0.897	-2.667	-1.779	-3.059	-1.945	-1.794	-1.352	-2.070	-2.069	-1.580	-2.645	-2.704
AADACL4	-1.575	-0.578	0.286	-0.850	-0.181	0.176	-1.973	-0.391	-1.632	-1.562	-0.015	0.035	-0.460	-0.430	-3.884	-0.476	-0.113	-0.190	0.433	-2.030	-0.596	-1.717	-0.751
KCTD12	2.719	1.494	2.160	2.025	4.504	1.631	1.537	2.375	3.238	2.672	2.889	3.266	1.900	3.142	2.264	2.713	3.126	0.316	1.958	3.060	2.609	2.355	1.805
DECR1	0.923	0.307	0.674	-0.036	1.751	0.775	0.415	0.362	-0.012	0.168	-0.005	0.061	0.109	-0.917	0.602	0.206	-0.107	0.272	0.496	-0.004	1.101	0.478	0.501
RFX2	-0.333	0.407	0.439	0.593	-0.547	2.415	1.582	2.121	1.403	0.664	1.534	0.259	2.265	-0.015	1.449	0.790	0.110	0.280	1.313	0.524	0.035	1.356	1.886
NIBP	0.860	-0.041	1.115	1.305	0.783	0.277	0.396	0.014	-0.266	0.908	0.163	0.072	0.631	1.934	0.380	0.470	0.875	1.715	0.577	0.532	1.045	0.236	0.189
MAPK15	0.236	0.600	0.285	0.282	0.327	0.598	0.275	0.939	-0.099	0.400	0.207	0.549	0.361	-0.125	-0.132	0.570	0.972	1.423	0.233	-0.074	0.901	-0.044	0.321
RAP1GDS1	1.068	0.036	0.228	0.175	0.982	0.258	0.683	0.087	0.024	0.149	0.422	0.621	-0.031	0.461	0.452	-0.219	-0.068	-1.225	0.142	0.066	-0.063	0.019	-0.407
SPARCL1	4.607	6.054	5.827	5.518	5.276	6.563	6.293	5.881	5.809	5.906	5.676	5.791	5.743	6.352	5.835	5.307	4.375	4.215	6.627	5.627	4.936	6.497	5.643
ENTPD8	0.359	0.073	-0.029	0.062	-0.419	-0.150	0.322	-0.467	-0.420	0.169	0.163	0.467	0.319	-0.159	-0.163	0.181	0.129	0.266	0.108	0.390	0.015	-0.124	0.414
ACSL4	1.643	-0.443	-0.642	-0.299	0.935	-0.802	0.060	-0.725	-0.058	-0.631	-0.112	-0.431	-0.230	-0.092	-0.403	-0.511	0.284	-1.697	-0.288	-0.119	-0.583	-0.572	-0.810
GRIA3	-0.681	0.072	0.508	0.692	-0.194	0.350	0.873	-0.335	0.698	1.226	0.715	1.244	-0.356	2.733	1.994	1.759	0.859	1.340	2.450	1.649	1.895	1.281	0.505
COL4A6	-3.919	-3.976	-4.185	-4.027	-2.752	-4.040	-4.637	-4.088	-4.041	-4.060	-3.771	-3.487	-3.392	-4.019	-3.778	-4.084	-4.702	-4.047	-4.340	-3.717	-3.825	-3.576	-4.004
ZSWIM5	-1.758	-1.085	0.714	-1.704	-0.527	0.652	0.008	0.265	-0.019	0.732	-1.075	-1.344	0.422	-1.379	1.458	-0.113	-0.388	-0.267	1.062	-0.144	0.191	0.839	1.337
LOC389199	2.513	1.020	1.155	1.199	0.672	1.833	1.155	0.933	1.676	2.406	2.307	3.252	1.774	2.361	-0.903	1.196	0.218	1.794	1.780	1.306	1.463	1.020	0.011
AADACL2	-0.414	-0.333	-0.353	-1.630	-0.824	-0.514	0.506	-1.121	-0.737	-0.862	-0.203	-0.262	-0.560	-0.939	-0.134	-1.012	-1.271	-0.480	-0.231	-0.648	-1.174	-0.244	-1.221
NDC80	-3.795	-2.809	-3.205	-1.639	-3.325	-3.256	-3.024	-2.436	-2.800	-2.823	-2.664	-2.889	-3.450	-1.822	-2.837	-2.756	-1.938	-2.476	-2.932	-2.296	-2.153	-3.249	-3.141
FBP1	0.730	1.021	2.502	-1.746	-1.231	2.950	2.293	2.148	-0.987	1.272	1.532	-0.013	1.771	0.592	1.894	1.258	0.045	0.663	2.118	1.418	1.771	2.086	2.721
PRDX6	0.474	-0.168	-0.160	-0.048	-1.012	-0.379	-0.642	-1.230	-0.758	0.250	-0.408	-0.386	-0.521	-0.545	-0.675	-0.541	-0.393	0.093	-0.439	-0.544	-0.434	-0.846	-0.748
PHF8	-0.398	-0.328	-0.318	-0.152	0.513	-0.225	-0.351	0.183	0.322	0.231	-0.133	-0.281	0.570	0.530	-0.756	-0.491	-0.233	-0.123	-0.412	-0.360	-0.262	-0.039	-0.585
STT3B	-0.610	-1.211	-1.047	-0.841	-0.084	-1.725	-1.439	-1.222	-1.399	-1.076	-1.215	-1.171	-1.183	-1.344	-0.964	-1.077	-0.516	-2.158	-1.373	-1.329	-1.411	-1.440	-1.129
CCDC102B	2.489	4.312	3.509	6.306	3.444	3.885	4.610	4.023	5.396	4.564	5.440	4.043	3.489	5.994	4.722	4.603	4.094	3.345	4.108	4.607	4.025	5.222	3.870
GPSM3	1.923	1.637	1.936	1.526	-0.073	0.814	1.082	1.157	0.944	1.842	2.156	2.294	1.500	2.239	-0.905	1.369	1.099	1.584	1.400	1.592	1.800	0.759	0.359
EXO1	-3.176	-3.142	-2.980	-2.181	-4.277	-3.556	-3.799	-3.972	-3.502	-2.760	-2.976	-2.777	-3.416	-2.569	-4.122	-2.409	-2.475	-2.809	-3.192	-2.572	-3.107	-3.787	-3.417
ZNF780A	-0.902	0.228	-0.455	0.136	0.711	-0.578	-0.733	0.645	0.080	0.089	-0.268	-0.548	-0.034	-0.035	0.821	0.165	0.654	0.111	0.351	-0.195	-0.033	0.239	0.360
XK	-2.633	-4.659	-5.759	-4.670	-2.992	-5.290	-6.111	-6.437	-2.001	-4.639	-5.655	-4.110	-6.533	-3.244	-5.632	-4.221	-3.715	-4.983	-4.464	-1.748	-3.871	-5.436	-3.945
LRSAM1	-0.574	-0.576	-0.072	-0.200	0.065	-1.012	-1.579	-0.940	-0.362	-0.577	-0.933	-0.997	-0.591	-0.809	-0.929	0.346	0.535	0.449	-0.236	-0.196	-0.096	-0.547	-0.262
FLJ16369	-0.207	-0.099	-0.372	-0.314	-0.571	-0.230	-0.276	-0.160	0.055	-0.324	-0.058	0.209	-0.704	-2.072	-0.293	-0.035	1.518	1.768	-0.262	-0.503	0.863	0.115	0.572
C18orf32	1.397	1.891	0.953	1.146	2.358	1.677	1.969	1.175	1.040	1.236	1.494	1.581	1.554	0.680	1.349	0.160	-0.004	-0.564	1.248	0.894	0.933	1.488	0.876
GCLM	0.911	-0.278	-0.239	-0.083	-0.693	-0.143	0.120	-0.268	-0.149	-0.034	0.002	-0.185	-0.049	-0.070	0.192	-0.787	-1.200	-2.147	-0.241	-0.789	0.248	-0.342	-0.334
