feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23	experiment 24	experiment 25	experiment 26	experiment 27	experiment 28	experiment 29	experiment 30	experiment 31	experiment 32	experiment 33	experiment 34	experiment 35	experiment 36	experiment 37	experiment 38	experiment 39	experiment 40	experiment 41	experiment 42	experiment 43	experiment 44	experiment 45	experiment 46	experiment 47	experiment 48	experiment 49
CGB1	0.111	0.807	1.559	1.366	-0.256	0.742	0.967	0.817	0.500	0.775	1.077	2.097	1.370	0.912	0.159	0.453	1.054	5.687	1.203	0.787	1.833	0.499	0.170	-0.083	0.543	1.297	1.242	1.407	1.809	1.069	0.240	1.926	2.279	1.675	0.807	7.661	4.178	2.724	0.340	1.387	5.475	4.256	6.216	1.180	4.251	0.172	-0.070	0.026	0.919
FNDC5	-1.546	-1.213	-0.824	-1.140	-1.513	-1.225	-0.992	-0.986	-1.371	-1.528	-1.238	-1.657	-1.107	-1.198	1.657	-1.343	-1.366	-0.903	2.102	-1.119	-1.478	-1.321	-1.048	-2.107	-1.250	-1.595	-1.306	-1.294	-1.202	-1.254	-0.954	-0.892	-1.234	-1.148	-1.750	-1.443	1.473	0.252	-0.128	-1.526	0.033	-0.538	-1.040	-0.697	3.299	1.802	-1.004	1.022	-2.134
RPS21	0.473	-0.703	0.182	-0.397	-0.325	-0.247	-0.570	0.745	-0.274	-0.447	-0.410	-0.201	-0.278	-0.468	-1.030	-0.089	-0.610	-0.625	-0.502	-0.394	-0.417	-0.366	-0.677	-0.649	-0.098	-0.573	-0.844	-0.595	-0.223	0.083	-0.832	-0.948	-0.218	0.779	-0.634	-0.686	0.866	-0.247	-0.588	-0.889	0.023	0.302	-0.091	-0.028	-0.306	-0.004	-0.790	-0.521	-0.237
C1orf63	-0.129	0.859	0.237	0.692	-0.247	-0.133	-0.764	0.295	0.611	0.173	0.432	-0.075	0.203	1.048	0.388	0.253	0.059	0.718	-0.131	0.109	0.872	0.326	0.762	0.314	0.834	0.844	0.804	0.960	0.906	0.957	0.507	0.514	0.508	0.257	0.635	1.545	-1.817	-0.010	0.946	-0.211	-1.280	-1.573	-0.205	0.099	-1.105	-1.405	0.215	0.893	0.276
ZNF534	-0.692	-1.082	-0.998	-0.938	-0.903	-1.030	-0.951	-0.484	-0.835	-1.119	-1.231	-1.376	-0.906	-1.236	0.159	-0.708	-0.767	-0.922	-0.541	-1.465	-0.218	-0.734	-0.900	-0.579	-0.870	-0.840	-0.867	-0.430	-0.648	-0.892	-1.241	-0.717	-0.809	-0.972	-1.247	0.343	0.542	-0.073	-0.167	-0.758	1.033	-0.476	-0.148	-0.563	0.672	0.208	-1.171	0.554	-0.963
TEGT	0.654	1.188	1.033	1.000	1.211	0.857	0.702	1.680	0.956	0.942	0.598	1.159	1.115	0.959	1.560	0.555	1.490	0.768	1.585	0.922	0.779	0.866	0.612	0.937	1.101	1.232	1.242	0.400	0.755	0.739	1.405	1.083	1.040	0.528	1.053	-0.464	0.610	1.983	1.143	1.399	1.662	1.032	0.995	1.008	1.502	1.599	1.316	1.672	0.311
IL28RA	0.323	0.325	-0.828	0.137	-0.780	0.421	-0.650	0.217	0.797	0.369	0.806	0.431	0.548	0.589	-0.444	0.435	0.496	-0.180	0.933	0.462	-0.230	0.623	0.196	0.736	0.507	0.251	-0.015	0.330	0.560	0.770	0.185	-0.082	0.520	-0.638	0.735	-0.317	-0.140	-0.099	0.719	0.122	-1.340	-0.300	0.006	-0.093	-0.428	0.090	0.538	-0.746	0.600
RPAP3	-1.038	-1.476	-1.179	-1.515	-1.120	-1.312	-0.815	-1.363	-1.494	-1.182	-1.342	-1.342	-1.558	-1.458	-0.464	-1.188	-1.562	-1.324	-1.454	-1.062	-1.022	-0.958	-1.692	-1.055	-1.398	-1.559	-1.061	-1.548	-1.422	-1.316	-1.219	-1.011	-1.579	-0.966	-1.311	-1.958	-0.862	-0.769	-0.807	-1.830	-0.689	-1.188	-1.260	-1.321	-1.149	-0.874	-1.285	-0.815	-1.638
MORC1	-0.431	-0.105	-0.217	-0.392	-0.376	-0.622	-0.387	-0.143	-0.744	-0.102	-0.213	-0.100	-0.229	-0.148	-0.267	-0.344	-0.065	0.075	-0.167	0.153	-0.046	-0.430	-1.120	-0.894	-0.483	-0.236	-0.785	-0.104	-0.221	-0.286	0.257	0.086	-0.721	-0.159	-0.403	-0.027	-0.626	0.045	0.171	-0.090	1.306	0.142	-0.074	-0.226	-1.157	-0.027	-0.188	-0.962	-1.881
PPM1G	-1.846	-1.461	-1.454	-1.526	-1.395	-1.507	-1.483	-1.917	-1.756	-1.496	-1.766	-1.568	-1.442	-1.624	-2.637	-1.839	-1.599	-1.619	-1.664	-1.607	-1.401	-1.133	-1.401	-1.429	-1.983	-1.767	-1.294	-1.544	-1.496	-1.264	-1.266	-1.365	-1.559	-1.638	-1.670	-1.099	-2.173	-2.281	-1.590	-0.815	-2.089	-2.199	-1.742	-1.876	-2.256	-2.063	-1.453	-1.855	-1.301
KCNK1	1.671	0.833	0.752	0.933	1.924	1.627	-0.106	0.795	0.448	0.487	0.485	0.362	0.724	0.523	0.026	1.019	1.648	1.478	1.122	1.400	2.483	1.346	-0.016	1.834	0.800	-0.384	-0.169	0.145	0.478	1.226	1.125	1.345	-2.143	1.735	0.788	0.383	-5.371	1.581	3.188	0.818	1.154	0.569	0.349	0.227	-0.410	-2.014	-0.709	0.490	-0.380
C6orf201	0.108	0.018	-0.585	0.028	0.279	-0.021	0.053	-0.004	0.206	0.116	0.043	0.257	0.007	0.040	0.457	-0.533	0.593	0.405	0.028	-0.077	0.013	-0.016	-0.007	-0.261	-0.504	0.028	0.646	-0.355	-0.044	0.151	-0.011	0.152	0.373	0.268	-0.461	-0.263	0.671	0.103	0.179	0.431	0.763	0.459	0.281	0.241	0.820	0.565	-0.768	-0.026	-0.041
TNMD	-2.189	-1.138	0.738	-1.683	-1.960	-1.143	6.233	1.111	-1.028	-2.014	-0.923	-1.299	0.864	-0.680	1.442	-1.790	0.492	-0.701	-1.212	-1.400	-3.103	0.522	-1.460	-0.496	-0.185	-0.952	1.317	-2.208	-1.062	1.310	-1.322	-2.820	-1.187	0.054	0.196	-1.440	0.800	-1.757	-1.672	-1.364	-0.214	-0.614	-0.371	0.273	0.619	-2.266	0.494	-0.966	-1.209
ARL5A	0.841	0.510	0.854	0.902	0.583	0.956	0.771	0.790	0.630	0.597	0.834	0.741	0.570	0.549	1.936	0.816	0.899	0.297	0.954	0.795	0.672	1.304	0.699	0.971	0.428	0.713	0.754	0.840	0.844	0.701	0.523	0.808	0.471	0.990	0.632	0.049	2.290	1.376	1.432	1.050	1.813	0.624	0.583	1.329	1.406	0.998	0.791	1.758	0.822
MPZL1	0.241	0.102	0.594	0.627	0.404	1.107	0.123	0.844	-0.152	-0.105	0.615	0.289	-0.082	0.031	-1.538	-0.203	0.148	0.324	-0.741	0.230	1.204	1.082	0.376	0.004	-0.399	-0.051	0.283	0.402	0.295	0.152	0.433	0.490	-0.093	1.062	0.009	-0.531	-1.766	-1.646	-0.161	0.146	-1.130	-0.808	-0.207	0.510	0.323	-0.957	0.197	-0.851	-1.534
ZNF770	0.198	0.083	0.519	0.179	0.590	0.313	0.122	-0.365	0.447	0.228	0.445	0.271	0.593	0.215	0.578	0.177	0.242	0.458	0.467	0.168	0.190	0.341	0.447	0.011	0.261	0.158	0.471	-0.190	-0.099	0.238	0.282	0.317	0.357	-0.001	-0.038	-0.304	0.453	0.497	0.458	0.015	0.406	0.052	0.163	0.050	0.416	0.812	-0.047	0.732	0.355
DRD2	0.059	-0.117	0.050	-0.073	0.023	-0.245	-0.103	0.304	0.103	0.022	-0.296	-0.033	-0.254	-0.053	0.131	0.169	-0.234	-0.215	0.179	-0.058	-0.201	0.106	0.045	-0.211	0.233	-0.050	-0.091	0.074	0.128	0.004	-0.208	-0.304	-0.266	0.239	0.090	-1.048	0.319	0.262	-0.091	-0.025	-0.522	0.581	0.228	-0.042	0.149	0.336	-0.135	0.491	0.431
PDLIM1	0.675	1.086	1.061	1.227	-0.127	0.901	0.508	1.194	0.740	1.382	1.433	1.192	1.031	0.705	-1.229	0.968	0.404	1.825	-0.912	1.088	1.010	1.236	0.573	0.996	0.401	0.734	0.537	0.577	1.029	1.088	0.685	1.272	1.340	1.201	1.397	0.321	-0.413	-1.014	-0.838	1.157	-1.005	-0.163	0.827	0.843	-1.184	-0.169	1.303	-1.058	0.554
ATP5G2	0.585	0.234	0.229	0.651	0.613	0.116	0.138	0.947	0.388	0.342	0.004	0.252	0.118	0.059	0.577	0.161	0.072	0.364	0.673	0.270	0.586	0.116	-0.418	-0.084	0.507	0.013	-0.124	0.238	-0.171	-0.159	0.531	0.203	0.113	0.664	-0.043	-1.057	0.779	0.385	0.420	0.283	0.977	0.975	0.172	0.523	0.608	0.835	0.249	0.333	0.090
IMPDH2	-1.383	-1.715	-1.730	-1.726	-1.310	-1.673	-1.773	-2.338	-1.909	-1.143	-1.365	-1.936	-1.135	-1.516	-1.749	-2.183	-2.081	-1.790	-1.191	-1.623	-1.714	-2.279	-2.138	-2.337	-1.938	-2.400	-1.442	-1.949	-2.050	-1.397	-1.475	-2.160	-1.867	-1.223	-2.092	-2.592	-1.760	-1.772	-1.562	-2.022	-1.861	-1.854	-2.712	-1.664	-1.238	-1.061	-1.600	-1.702	-1.644
SIPA1L3	0.692	0.993	1.791	1.782	0.968	1.149	0.810	1.359	0.742	1.016	1.000	1.493	1.329	0.658	0.592	1.466	0.481	1.458	2.063	1.907	2.357	0.552	0.414	0.454	0.440	-0.199	0.740	0.684	0.520	0.242	1.760	0.965	0.232	1.444	1.447	1.630	0.642	0.913	0.476	2.761	0.045	0.661	0.605	1.388	1.606	1.258	0.986	0.104	-0.087
SGOL2	-2.715	-2.727	-2.458	-2.633	-2.881	-2.002	-2.338	-1.919	-3.348	-2.716	-2.389	-2.715	-3.020	-2.566	-3.776	-3.284	-2.579	-2.891	-3.796	-2.772	-1.603	-1.583	-2.750	-2.460	-2.890	-2.611	-2.519	-3.111	-2.883	-2.118	-2.760	-2.400	-2.788	-2.535	-2.520	-2.643	-2.091	-3.454	-3.111	-2.723	-2.549	-2.707	-3.110	-3.661	-2.732	-3.941	-2.457	-3.689	-1.554
LPHN1	-2.358	-1.671	-1.844	-1.807	-1.093	-1.909	-1.424	-2.062	-2.115	-1.732	-1.536	-2.333	-1.628	-1.650	-0.225	-2.007	-2.223	-1.857	-0.107	-1.937	-1.951	-1.494	-0.977	-2.147	-2.056	-1.909	-1.738	-0.996	-1.322	-1.630	-1.769	-2.009	-1.577	-2.214	-2.073	-1.390	-1.846	-1.665	-2.495	-2.288	-1.313	-1.787	-2.355	-1.792	-1.223	-1.557	-1.957	-0.842	-2.317
SNAP91	0.372	0.147	0.599	0.497	0.081	0.529	0.895	0.463	0.641	0.326	0.433	0.779	-0.083	0.640	0.363	0.448	0.173	0.343	-0.090	-0.107	0.419	-0.237	-0.076	0.088	0.231	-0.082	0.169	-0.219	0.360	0.192	0.241	-0.418	-0.022	0.574	0.665	0.912	0.283	-0.927	0.816	-0.301	-1.006	0.472	-0.207	1.292	0.197	0.364	-1.429	0.811	0.765
TBC1D3P2	-0.713	-0.808	-0.050	-0.340	-0.067	0.492	-1.208	-0.563	-0.398	-0.419	0.764	-0.805	0.077	0.023	0.120	-0.619	-0.201	-0.460	-1.381	-0.271	-0.723	0.270	-0.409	-0.632	-0.683	0.083	-1.799	0.152	-0.462	-1.032	-0.494	-0.644	-0.422	0.421	-0.693	0.868	-2.320	-2.220	-2.127	-1.539	-1.585	-2.397	-1.189	-1.320	-1.994	-2.828	-0.139	-1.254	-1.129
CAPSL	0.764	-0.055	0.936	0.977	0.697	-0.484	1.035	2.019	0.763	0.667	0.491	1.280	0.599	0.478	0.820	0.832	0.897	0.661	0.357	0.780	0.867	0.424	0.347	0.895	0.488	0.839	0.761	1.716	0.648	0.730	1.143	1.057	0.302	0.932	0.517	1.167	1.002	0.355	0.910	0.754	1.385	1.581	1.006	-0.293	0.945	0.834	0.482	0.416	0.084
DAOA	0.482	-1.341	0.096	-0.502	-0.512	0.184	0.051	0.251	-0.169	-0.375	0.369	0.282	-0.282	-0.047	0.137	-0.304	-0.442	-0.283	-0.272	0.253	0.185	-0.077	0.136	-1.699	0.324	-0.127	0.044	-0.102	1.264	0.102	-0.146	-0.203	0.505	-0.111	-0.104	-1.449	0.335	0.444	0.430	0.439	0.334	0.365	-0.263	0.966	1.151	0.256	-0.403	0.503	1.472
KNG1	-1.238	-2.122	-0.936	-1.480	-0.287	-1.788	-1.881	-0.579	-1.320	-1.073	-1.923	-1.298	-1.694	-1.696	2.237	-1.673	-0.639	-1.231	-1.174	-0.691	-0.950	-1.414	-2.170	-2.587	-1.547	-2.380	3.701	-2.000	3.510	-1.361	-0.950	-0.634	-2.131	-1.353	-2.173	-2.395	-0.003	5.245	-0.798	-1.435	0.347	7.316	-1.427	0.145	1.686	6.435	-1.879	0.399	-1.563
SOX7	0.477	1.415	1.358	1.137	0.809	1.510	1.119	0.249	1.552	1.368	1.137	0.846	1.365	0.702	1.084	0.946	1.245	1.154	0.332	0.549	0.082	0.805	2.344	1.262	1.564	1.333	1.876	-0.386	1.868	1.857	1.008	0.911	1.606	1.023	1.597	-0.282	-0.215	0.126	1.186	1.062	-0.041	-0.036	0.236	-0.200	-0.439	0.252	1.192	0.353	0.132
SYDE1	-0.308	-0.258	-0.274	-0.241	-0.589	-0.361	-0.361	-0.672	-0.307	-0.584	-0.051	-0.429	0.175	-0.286	-1.310	-0.201	-0.432	-0.569	-1.115	-0.258	-0.724	-0.490	0.120	-0.685	-0.529	-0.202	-0.046	-1.097	0.024	-0.002	-0.310	-0.513	0.097	-0.503	-0.403	-1.043	-0.042	-0.657	-0.828	-0.071	-0.149	0.225	-0.147	-0.651	-1.142	-0.811	-0.002	-1.414	-0.744
CBX8	-0.883	-1.258	-0.839	-0.567	-0.498	-1.209	-0.973	-0.323	-1.059	-0.640	-0.720	-0.910	-0.813	-1.183	-0.307	-0.896	-0.954	-0.447	-0.856	-1.075	-0.505	-0.633	-0.986	-1.026	-1.245	-1.507	-1.252	-0.872	-1.225	-0.924	-0.653	-0.704	-1.769	-1.535	-0.967	-0.590	-0.429	-0.873	-0.170	-1.283	-1.785	0.157	-0.855	-0.447	-1.498	-0.967	-0.891	-0.990	-0.805
NUP37	-1.930	-2.079	-1.440	-1.186	-1.707	-1.592	-1.378	-0.129	-1.817	-1.795	-1.494	-1.385	-1.744	-1.728	-0.397	-1.406	-1.515	-2.140	-1.646	-1.808	-0.762	-0.947	-1.801	-1.719	-1.591	-1.491	-1.868	-1.235	-1.580	-1.413	-1.418	-1.395	-1.825	-0.863	-1.555	-2.546	-0.255	-0.776	-0.675	-2.314	-1.162	-1.030	-1.369	-1.042	-0.404	-0.813	-1.988	-0.493	-1.250
LINGO4	0.329	0.060	0.222	0.169	0.100	0.037	0.211	0.161	-0.552	0.005	0.019	0.534	0.168	0.121	0.281	0.178	-0.013	0.211	0.214	0.203	0.348	0.172	0.273	0.328	-0.070	-0.056	0.034	0.335	0.087	-0.036	0.296	0.225	0.201	0.160	0.554	-0.338	-0.022	0.791	0.444	0.331	0.486	0.745	0.305	-0.226	0.476	0.538	-0.080	0.894	-1.388
POLR3H	0.969	-0.419	-0.053	0.051	-0.631	-0.116	-0.159	0.398	-0.405	-0.613	-0.426	-0.304	-0.412	-0.384	-0.260	-0.401	-0.583	-0.157	-0.343	-0.510	-0.138	-1.076	-0.811	-0.420	-0.405	-0.658	-0.491	-1.395	-1.144	-0.652	0.114	-0.248	-0.315	-0.365	-0.385	-0.849	-1.221	-0.656	-0.900	-0.396	-1.453	-1.109	-0.600	-1.165	0.029	-0.619	-0.529	-0.500	-0.519
PPP2CA	-0.358	0.950	-0.128	-0.128	0.192	-0.180	0.282	-0.332	0.279	0.229	-0.731	-0.017	-0.162	0.015	0.822	-0.114	-0.203	0.164	0.286	-0.146	0.100	-0.355	-0.836	-0.143	0.111	0.246	0.158	-0.091	0.158	0.097	0.306	0.093	-0.147	-0.224	-0.201	-1.546	0.413	0.796	0.483	0.224	-0.540	0.697	-0.468	0.044	0.584	0.804	-0.237	0.237	-0.005
ZEB1	-0.445	0.437	0.222	-0.404	-0.553	1.457	0.145	-0.397	0.820	-0.080	0.790	0.088	0.871	0.787	-2.042	0.753	0.903	-1.014	-1.582	-0.229	-2.045	1.565	2.731	1.093	0.421	1.111	1.472	-0.645	1.738	0.905	-0.117	-0.496	1.650	-0.580	0.916	0.334	-0.023	-2.193	-1.073	0.487	-3.036	-1.211	0.691	-1.479	-1.323	-0.598	0.852	-0.569	0.661
KCTD7	0.189	0.115	-0.579	-0.053	-0.021	0.163	-0.034	0.187	0.093	0.141	-0.002	0.196	0.303	0.087	0.500	-0.070	0.412	-0.024	0.250	0.344	-0.010	0.140	-0.140	-0.077	-0.140	-0.180	0.440	-0.209	-0.235	-0.182	0.078	0.147	0.158	0.579	-0.078	-1.574	0.121	0.150	0.329	0.141	1.336	0.401	0.378	0.414	0.361	0.431	0.343	0.172	-0.116
HIST3H3	-0.925	-0.242	-0.534	-0.515	-0.834	-0.608	-0.577	-1.074	-0.625	-0.685	-0.578	-0.741	-0.028	-0.477	-0.996	-0.467	-0.417	-0.691	-1.052	-0.316	-0.332	-0.317	0.049	-0.021	-0.594	-0.436	-0.226	0.269	0.033	-0.252	-0.505	-0.155	-0.578	-1.089	-0.590	-0.021	-1.727	-1.264	-0.635	-0.281	-1.245	-1.442	-0.399	-0.801	-1.430	-1.315	-0.342	-1.305	-1.039
DCLK2	0.150	0.301	-0.188	-0.004	1.582	0.370	-0.261	-0.612	-0.247	-0.056	0.102	-0.186	0.138	0.132	0.998	-0.180	0.040	0.050	1.094	0.056	-0.630	-0.699	0.492	-0.133	-0.029	0.052	0.899	-0.578	0.550	0.729	0.082	-0.180	0.066	-0.837	-0.132	-0.879	-0.356	0.389	0.991	-0.190	-0.490	-0.100	-0.550	-0.162	0.066	-0.087	0.312	1.593	-1.057
C10orf6	-0.337	-0.055	-0.340	-0.606	0.234	-0.590	-0.200	-0.904	-0.073	-0.223	-0.091	-0.306	-0.189	0.126	-1.437	-0.073	-0.848	-0.455	-1.101	-0.702	-1.179	0.073	0.029	-0.069	-0.192	-0.167	-0.199	-0.074	-0.018	-0.191	-0.611	-0.376	0.051	-0.221	-0.062	-0.533	-1.371	-1.163	-1.285	-0.420	-1.371	-1.286	-0.437	0.172	-1.637	-0.247	-0.193	-1.436	-0.151
HSD17B2	-3.304	-0.950	-2.504	-0.177	0.180	-0.890	-1.495	-0.381	-1.286	-3.140	-0.570	-1.463	-2.866	-2.121	0.210	0.034	0.455	-2.039	-2.993	2.229	-2.262	-0.631	-2.496	-1.310	0.629	-0.831	-1.526	-1.877	-2.396	-0.731	-0.021	-1.692	-0.700	0.515	-0.540	-2.101	-0.428	-1.137	-4.108	-1.391	-2.330	0.098	-1.466	-0.456	-0.459	-3.664	-1.944	-4.168	-1.981
ALOXE3	0.063	-0.108	-0.059	0.070	-0.136	-0.270	0.157	0.271	-0.118	-0.169	-0.019	0.055	-0.198	-0.008	0.305	-0.209	0.085	-0.029	0.119	-0.112	-0.116	-0.008	-0.490	-0.198	-0.230	-0.163	-0.526	-0.100	-0.361	-0.199	0.135	0.220	-0.059	0.003	-0.195	-1.271	0.052	-0.270	0.020	0.119	-1.124	0.608	-0.143	-0.048	0.305	0.195	-0.228	-0.035	-1.012
SLC35D2	0.701	1.032	0.414	0.747	0.775	0.735	0.199	0.339	0.512	1.276	0.639	1.129	0.178	1.045	-0.147	0.917	0.836	0.939	-0.915	1.134	-0.342	-0.082	0.148	0.782	0.609	0.926	0.924	0.743	0.581	0.349	0.142	0.696	0.601	0.708	0.672	-0.425	0.471	-0.831	-0.493	0.680	-1.268	0.022	1.322	0.354	-0.431	-0.349	1.034	-1.214	1.533
ANP32D	-3.130	-2.511	-1.312	-2.103	-1.841	-2.319	-2.549	-3.412	-2.594	-2.026	-2.376	-2.030	-1.780	-2.281	-1.204	-2.654	-1.699	-1.722	-2.103	-1.113	-1.260	-3.466	-2.973	-2.203	-2.357	-2.243	-1.340	-2.449	-2.264	-2.687	-1.673	-1.153	-2.401	-2.258	-2.058	-2.188	-2.335	-1.740	-2.858	-1.472	-2.045	-2.571	-2.222	-3.467	-1.312	-0.692	-0.807	-1.688	-2.265
DPP10	-0.167	-0.323	-0.430	-0.453	-0.516	-0.301	-0.141	-0.694	0.189	-0.046	-0.683	-0.263	-0.268	-0.188	0.647	-0.941	0.086	-0.472	0.519	-0.543	-0.250	-0.908	-0.852	-0.448	-0.529	-0.563	-0.721	-0.252	-1.380	-0.400	-0.392	-0.123	-0.157	0.330	-0.860	0.689	-0.333	1.273	-0.265	-0.121	0.403	0.339	-0.056	0.248	0.646	-0.927	-0.536	1.181	-0.059
KRT74	0.590	1.149	0.415	0.313	0.145	0.589	0.244	0.449	0.410	0.287	0.526	0.718	0.297	0.438	2.313	0.565	0.636	0.708	1.097	0.797	0.520	-0.344	0.854	0.486	0.884	0.910	1.018	0.311	1.041	0.509	0.556	0.635	0.916	0.974	0.440	1.634	0.711	2.172	1.317	0.517	0.816	-0.117	0.528	-0.052	-2.046	0.582	0.675	1.443	0.834
FZD8	0.093	-0.307	0.235	-0.904	0.191	-0.558	0.739	-0.194	0.476	0.965	-0.706	0.555	-0.051	0.306	-1.051	-0.119	1.014	-0.102	-1.698	0.227	1.247	0.012	0.838	-0.120	-0.715	0.168	0.637	-0.013	0.820	0.043	0.200	0.041	-0.139	-1.284	-0.377	-0.035	-1.940	-0.980	-2.730	0.976	-1.528	2.435	-0.472	0.005	-0.928	-0.532	0.070	-0.819	0.249
MAPK11	0.897	0.037	0.106	-0.149	-0.200	0.027	-0.316	0.380	-0.232	0.147	0.258	-0.151	0.501	-0.297	-1.045	-0.108	0.128	0.854	-0.800	0.128	0.046	-0.029	0.453	-0.218	0.214	-0.188	-0.296	-0.796	0.280	-0.077	0.570	0.234	0.238	-0.142	-0.313	0.950	-0.250	-0.820	-0.674	-0.071	-0.616	-0.043	-0.278	-0.811	-0.267	-0.317	-0.222	-0.613	0.491
RAF1	-1.059	-0.257	-0.460	-0.676	-0.465	-0.132	-0.954	-0.850	-0.553	-0.625	-0.374	-0.576	-0.208	-0.335	0.505	-0.659	-0.691	-0.959	0.532	-0.368	-0.331	-0.403	-0.643	-0.817	-0.530	-0.396	-0.197	-0.503	-0.378	-0.095	-0.552	-0.378	-0.243	-0.713	-0.525	-0.295	-0.869	0.164	-0.157	-0.639	-0.843	0.245	-0.557	0.105	0.099	-0.068	-0.201	0.203	-0.606
RP11-529I10.4	2.166	0.939	1.578	1.960	0.561	0.357	1.580	2.542	1.858	1.383	1.720	1.859	0.962	1.248	-0.795	0.953	0.006	2.288	-0.915	1.389	1.834	1.310	0.942	1.611	0.376	0.941	1.310	1.471	0.511	1.155	2.053	1.784	0.147	2.664	1.218	0.052	1.934	-0.452	-0.746	0.503	1.006	2.544	1.527	1.589	0.219	0.964	1.310	-0.414	0.883
ZNF575	0.929	0.629	0.684	0.901	0.533	0.790	1.069	1.414	0.607	0.469	0.747	1.228	0.582	0.763	0.487	1.074	1.011	0.643	0.893	0.737	1.369	1.314	1.423	0.852	0.772	0.716	-0.394	0.912	0.976	0.861	0.770	1.194	0.643	1.187	1.395	1.133	1.648	0.859	0.260	1.432	0.457	1.731	1.173	1.661	1.207	1.417	0.696	1.349	0.160
SCGB3A2	-1.131	-1.340	-1.313	-1.151	-1.575	-1.817	-1.550	-1.387	-1.305	-1.544	-1.363	-1.688	-1.095	-1.282	-1.773	-1.604	-1.039	-1.396	-1.389	-1.264	-1.133	-1.899	-1.990	-2.594	-1.431	-1.719	-2.406	-1.755	-1.283	-1.467	-0.997	-1.232	-1.887	-1.485	-1.572	-1.125	-1.482	-1.326	-1.694	-1.462	-0.196	-1.099	-1.575	-1.934	-1.781	-1.658	-1.363	-2.297	-3.167
FGFRL1	-0.408	-0.549	-0.538	-0.761	-0.066	0.143	-1.066	-0.878	-0.715	-0.266	-0.151	-0.493	-1.498	-0.605	0.138	-0.873	-0.789	0.610	-0.285	-0.679	-0.538	-0.481	-0.758	-0.583	-1.386	-0.885	-0.712	-1.111	-1.227	-0.574	-1.012	-0.885	-0.728	-0.999	-1.097	-1.496	-0.742	-0.747	0.135	-1.297	-1.432	-1.366	-1.164	-1.517	-0.927	-0.631	-0.341	-0.067	-1.339
C1orf165	2.925	1.865	1.344	2.151	-0.083	1.852	1.377	2.109	2.431	2.429	2.984	1.616	1.917	2.489	1.129	2.059	2.193	2.467	0.098	2.247	1.171	1.353	2.165	2.284	2.311	2.136	2.332	1.347	1.938	2.227	2.065	2.368	1.419	3.083	2.411	1.286	0.928	0.272	1.034	1.235	0.421	3.971	2.117	1.409	0.118	1.894	1.934	-0.211	1.921
DCTN6	1.130	0.408	0.536	0.409	0.512	0.571	0.459	0.155	1.040	0.358	0.509	0.579	0.033	0.481	1.171	0.256	0.846	0.791	0.307	0.633	0.060	-0.399	0.358	0.771	0.890	0.825	0.356	0.100	0.303	0.154	0.108	0.536	0.633	-0.422	1.097	-1.590	1.071	-0.126	0.259	0.040	0.416	0.202	1.111	0.697	0.877	0.316	0.511	0.831	0.522
TSSC1	-0.667	-0.773	-0.025	-0.057	-0.372	-0.706	-0.188	0.102	-1.062	-0.645	-0.803	-0.204	-0.789	-0.480	-0.463	-0.849	-0.891	-0.373	-0.716	-0.722	-0.140	-0.928	-1.073	-0.871	-0.580	-0.831	-0.278	-0.501	-0.991	-0.466	0.097	0.052	-0.768	-0.295	-0.972	-0.409	-0.153	-0.604	0.554	-0.092	-0.741	0.104	-0.348	-0.599	-0.787	-0.893	-0.686	-0.851	-0.731
GNPTG	1.561	1.317	1.244	1.261	1.849	1.091	1.608	1.484	1.387	1.187	1.328	1.493	1.664	1.305	1.812	1.258	1.605	1.097	1.234	1.212	0.851	1.402	1.108	1.326	1.525	1.570	1.433	1.738	1.147	1.652	1.563	1.610	1.395	1.395	1.406	1.925	1.414	1.805	1.927	1.510	1.506	2.085	1.650	1.503	1.103	1.244	1.402	1.645	1.739
LRRC43	2.618	1.039	3.587	4.143	4.460	2.451	3.259	6.044	1.254	1.258	2.444	3.143	0.280	1.934	-0.162	1.841	1.069	4.396	-0.155	3.084	3.762	2.743	1.977	1.093	0.450	1.702	3.168	1.969	0.286	-0.291	2.498	2.927	1.330	3.681	0.520	0.246	0.480	0.845	-0.419	2.638	1.563	2.151	4.358	2.107	1.005	-0.903	1.946	-0.227	1.946
RBP4	-5.215	1.326	-0.583	-3.625	-1.789	-3.452	-4.023	-1.708	-3.678	-2.571	-2.384	-3.877	-4.482	-3.398	-4.422	-2.373	-5.313	-2.244	-3.489	-1.653	-4.531	-2.693	-4.159	-3.543	-4.287	-3.334	2.593	3.944	-4.304	-4.790	-3.545	-4.202	-4.375	-3.538	-4.246	-2.760	-3.534	-4.964	-5.259	-2.166	-3.276	-3.958	-3.639	0.288	-3.345	-3.999	-4.718	-3.808	-3.558
